raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
Trường Cao Đẳng Nghề Vĩnh Long,Kỹ thuật máy tính,ky thuat may tinh,25,cao dang nghe vinh long,57,cao dang nghe vinh long,100
thpt liên hà,toán lí hóa,toan li hoa,52,thpt lien ha,83,None,-1
Trường THPT Hàn Thuyên,Chuyên ngành,chuyen nganh,30,thpt han thuyen,38,None,-1
Industrial University of Ho Chi Minh City (IUH),Khoa công nghệ kỹ thuật hóa học chuyên ngành Hóa Phân Tích,khoa cong nghe ky thuat hoa hoc chuyen nganh hoa phan tich,26,industrial university of hcm city,70,None,-1
Đại học Sài Gòn,Chuyên ngành,chuyen nganh,30,dai hoc sai gon,53,dai hoc sai gon,100
Đại Học Mở Thành Phố Hồ Chí Minh,Luật Kinh tế,luat kinh te,23,dai hoc mo hcm,26,None,-1
DHDL Van Lang,Chuyên ngành,chuyen nganh,32,dai hoc dl van lang,44,None,-1
Trường Cao Đẳng Kinh Tế - Kỹ Thuật Vinatex Thành Phố Hồ Chí Minh,Tiếng Anh,tieng anh,22,cao dang kinh te ky thuat vinatex hcm,48,None,-1
Đại học Thương Mại,Chuyên ngành,chuyen nganh,27,dai hoc thuong mai,56,dai hoc thuong mai,100
HUTECH - Trường Đại học Công nghệ TP.HCM,Chuyên ngành,chuyen nganh,34,hutech truong dai hoc cong nghe hcm,45,None,-1
đại học công nghiệp,tài chính - ngân hàng,tai chinh ngan hang,45,dai hoc cong nghiep,74,None,-1
Raffles College of Design and Commerce,Hospitality,hospitality,16,raffles college of design and commerce,89,None,-1
Chisholm Institute,Business Administration,business administration,39,chisholm institute,89,None,-1
THPT Hàn Thuyên,Chuyên ngành,chuyen nganh,30,thpt han thuyen,47,None,-1
NEU,Chuyên ngành,chuyen nganh,13,neu,0,None,-1
Viện Đại Học Mở Hà Nội,Luật Quốc Tế,luat quoc te,18,vien dai hoc mo ha noi,45,None,-1
Trường THPT Lộc Thành,Điện,dien,11,thpt loc thanh,34,None,-1
Trường THCS Lộc Thành,Tin,tin,12,thcs loc thanh,34,None,-1
Đại học Hà Nội,Ngôn ngữ Pháp,ngon ngu phap,22,dai hoc ha noi,50,dai hoc ha noi,100
Tài chính Marketing,Quản trị kinh doanh,quan tri kinh doanh,42,tai chinh marketing,79,None,-1
Mở TP.HCM,Quản trị kinh doanh,quan tri kinh doanh,16,mo hcm,13,None,-1
中央情報経理専門学校,国際ビジネス学科．日本語,guo ji bizinesuxue ke ri ben yu,0,zhong yang qing bao jing li zhuan men xue xiao,0,None,-1
Dai Hoc Kinh Te Luat,Chuyên ngành,chuyen nganh,25,dai hoc kinh te luat,75,None,-1
Đại Học Dược Hà Nội,Chuyên ngành,chuyen nganh,26,dai hoc duoc ha noi,42,dai hoc duoc ha noi,100
cao dang duoc phu tho,Chuyên ngành,chuyen nganh,24,cao dang duoc phu tho,100,cao dang y duoc phu tho,95
Trung cấp Dược Hà Nội,duoc sy trung cap,duoc sy trung cap,47,trung cap duoc ha noi,57,None,-1
Ha Noi Tourism College,Chuyên ngành,chuyen nganh,24,ha noi tourism college,82,None,-1
Đại học Sư Phạm Kỹ Thuật Nam Định,Chuyên ngành Công Nghệ Chế Tạo Máy,chuyen nganh cong nghe che tao may,27,dai hoc su pham ky thuat nam dinh,58,dai hoc su pham ky thuat nam dinh,100
Ton Duc Thang University,Chuyên ngành,chuyen nganh,28,ton duc thang university,83,None,-1
Ton Duc Thang University - Vietnam,Việt Nam Học-Văn Hóa Du Lịch,viet nam hoc van hoa du lich,27,ton duc thang university vietnam,82,None,-1
sư phạm kỹ thuật tphcm,điện điện tử,dien dien tu,19,su pham ky thuat hcm,76,None,-1
Đại học Quy Nhơn,Tài chính doanh nghiệp,tai chinh doanh nghiep,37,dai hoc quy nhon,62,dai hoc quy nhon,100
Truong Dai Hoc Tay Bac,Bảo vệ thực vật,bao ve thuc vat,33,dai hoc tay bac,59,dai hoc tay bac,100
DH Vinh,Chuyên ngành,chuyen nganh,33,dai hoc vinh,42,dai hoc vinh,100
ĐH Ngoại ngữ - ĐH Quốc gia HN,Chuyên ngành,chuyen nganh,23,dai hoc ngoai ngu dai hoc quoc gia ha noi,49,dai hoc ngoai ngu dai hoc quoc gia ha noi,100
ĐH Ngoại ngữ - ĐH Quốc gia HN,Chuyên ngành,chuyen nganh,23,dai hoc ngoai ngu dai hoc quoc gia ha noi,49,dai hoc ngoai ngu dai hoc quoc gia ha noi,100
ĐH Quốc Gia,Chuyên ngành,chuyen nganh,29,dai hoc quoc gia,44,None,-1
Đại học Kinh tế TP.HCM,Marketing,marketing,29,dai hoc kinh te hcm,54,dai hoc kinh te   hcm,95
Đại Học Duy Tân,Tiếng anh Du Lịch,tieng anh du lich,38,dai hoc duy tan,53,dai hoc duy tan,100
DH ky thuat cong nghe_HUTECH,Công Nghệ Kỹ Thuật Cơ Khí,cong nghe ky thuat co khi,35,dai hoc ky thuat cong nghe hutech,62,None,-1
Ton Duc Thang University,Công nghệ sinh học,cong nghe sinh hoc,33,ton duc thang university,83,None,-1
đại học công nghiệp tp. hồ chí minh,điện công nghiệp,dien cong nghiep,56,dai hoc cong nghiep hcm,62,dai hoc cong nghiep   hcm,96
thpt thuan thanh 1,cap 3,cap 3,17,thpt thuan thanh 1,100,None,-1
THCS Lê Quý Đôn,Chuyên ngành,chuyen nganh,37,thcs le quy don,33,None,-1
Trường Đại học Cần Thơ - Can Tho University,Chuyên ngành,chuyen nganh,22,dai hoc can tho can tho university,62,None,-1
cd kinh te ki thuat thuong mai ha tay,Chuyên ngành,chuyen nganh,22,cao dang kinh te ki thuat thuong mai ha tay,92,None,-1
trường đại học công nghiệp thực phẩm tphcm,quản trị kinh doanh,quan tri kinh doanh,27,dai hoc cong nghiep thuc pham hcm,69,None,-1
Đại học Hồng Đức,Đại học Sư phạm tiểu học,dai hoc su pham tieu hoc,45,dai hoc hong duc,56,dai hoc hong duc,100
Trường THPT Chu Văn An,Chuyên ngành,chuyen nganh,37,thpt chu van an,38,None,-1
Đại Học Chữ To,Chuyên ngành,chuyen nganh,23,dai hoc chu to,50,None,-1
THPT Chu Văn An,12/12,12/12,0,thpt chu van an,47,None,-1
Trường Trung Cấp Kế Toán,Kế Toán,ke toan,25,trung cap ke toan,49,None,-1
Trường Đào Tạo Chứng Chỉ,Bằng A Anh Văn,bang a anh van,26,dao tao chung chi,44,None,-1
đh Công nghiệp Tp HCM,công nghệ kĩ thuật cơ khí,cong nghe ki thuat co khi,42,dai hoc cong nghiep hcm,50,dai hoc cong nghiep   hcm,96
Trường THCS Hải Bối,Chuyên ngành,chuyen nganh,25,thcs hai boi,29,None,-1
trung cap nghe ke toan,ke toan,ke toan,48,trung cap nghe ke toan,100,None,-1
IUH -  ĐH Công Nghiệp TP.HCM,Công nghệ thực phẩm,cong nghe thuc pham,43,iuh dai hoc cong nghiep hcm,40,None,-1
Youth Union - Ho Chi Minh city University of Food Industry,Chemical Technology,chemical technology,27,youth union hcm city university of food industry,77,None,-1
đại học công nghiệp hà nội,kế toán,ke toan,18,dai hoc cong nghiep ha noi,73,dai hoc cong nghiep ha noi,100
Đại học công nghệ thông tin và truyền thông Thái Nguyên,Công nghệ thông tin,cong nghe thong tin,42,dai hoc cong nghe thong tin truyen thong thai nguyen,75,dai hoc cong nghe thong tin truyen thong thai nguyen,100
đại học trà vinh,công nghệ chế biến thuỷ sản,cong nghe che bien thuy san,33,dai hoc tra vinh,75,dai hoc tra vinh,100
Đại học Nguyễn Tất Thành,Dược,duoc,7,dai hoc nguyen tat thanh,62,dai hoc nguyen tat thanh,100
Cao Đẳng Việt Mỹ,Biên Phiên Dịch,bien phien dich,26,cao dang viet my,56,cao dang viet my,100
HCMC Open University,"Luật  Học, Luật Kinh tế, Luật hình sự",luat hoc luat kinh te luat hinh su,25,hcm open university,72,None,-1
trung cấp nghề quang trung,marketing,marketing,29,trung cap nghe quang trung,92,None,-1
đại học nguyễn tất thành,dược ,duoc,21,dai hoc nguyen tat thanh,75,dai hoc nguyen tat thanh,100
TRUONG DAI HOC THUY LOI,cap thoat nuoc,cap thoat nuoc,47,dai hoc thuy loi,15,dai hoc thuy loi,100
Trường Đại học Văn hóa Thể thao và Du lịch Thanh Hóa,Quản lý văn hóa,quan ly van hoa,28,dai hoc van hoa the thao du lich thanh hoa,62,dai hoc van hoa  the thao du lich thanh hoa,99
Trường Đại học Tài chính - Marketing,Quản trị kinh doanh tổng hợp,quan tri kinh doanh tong hop,40,dai hoc tai chinh marketing,63,dai hoc tai chinh   marketing,96
HIU,Chuyên ngành: Thiết kế nội thất,chuyen nganh: thiet ke noi that,12,hiu,0,None,-1
trường đại học kho học Huế,địa chất ,dia chat,36,dai hoc kho hoc hue,58,dai hoc khoa hoc hue,97
PACE,Quản lý cấp trung,quan ly cap trung,10,pace,0,None,-1
truong han thuyen,lop 12,lop 12,12,han thuyen,74,None,-1
đại học bách khoa đà nẵng,kinh tế xây dựng,kinh te xay dung,39,dai hoc bach khoa da nang,72,dai hoc bach khoa da nang,100
đại học mỏ địa chất,Chuyên ngành khai thác mỏ,chuyen nganh khai thac mo,32,dai hoc mo dia chat,63,dai hoc mo   dia chat,95
Hồng Bàng International University,Fashion Design,fashion design,33,hong bang international university,82,None,-1
Hoa Sen University,Chuyên ngành,chuyen nganh,27,hoa sen university,83,None,-1
Trường đại học Thành Tây,Kế toán,ke toan,25,dai hoc thanh tay,49,None,-1
truong cao dang nghe duyen hai,Chuyên ngành,chuyen nganh,34,cao dang nghe duyen hai,87,cao dang nghe duyen hai,100
Đại Học Mở Tphcm,Chuyên ngành,chuyen nganh,23,dai hoc mo hcm,53,None,-1
STHC - Saigontourist Hospitality College,Hotel Management,hotel management,26,sthc saigontourist hospitality college,79,None,-1
Đại Học Ngoại Thương,Kinh Tế Đối Ngoại,kinh te doi ngoai,32,dai hoc ngoai thuong,55,dai hoc ngoai thuong,100
ĐH Kiến Trúc Đà Nẵng,Kế toán doanh nghiệp,ke toan doanh nghiep,40,dai hoc kien truc da nang,44,dai hoc kien truc da nang,100
Đại học Công Đoàn,Quản trị nhân lực,quan tri nhan luc,24,dai hoc cong doan,59,dai hoc cong doan,100
ĐH Công Nghiệp Thực Phẩm TPHCM,Công Nghệ Thông Tin,cong nghe thong tin,31,dai hoc cong nghiep thuc pham hcm,48,None,-1
Eduviet Corporation,Nghề nhân sự chuyên nghiệp,nghe nhan su chuyen nghiep,13,eduviet corporation,89,None,-1
HUTECH - Đại học Công nghệ Tp.HCM,Quản trị khách sạn,quan tri khach san,30,hutech dai hoc cong nghe hcm,43,None,-1
cao đẳng tài chính hải quan,kinh doanh xuất nhập khẩu,kinh doanh xuat nhap khau,46,cao dang tai chinh hai quan,81,None,-1
Cao đẳng sư phạm Hà Nội,Giáo dục tiểu học,giao duc tieu hoc,35,cao dang su pham ha noi,61,None,-1
đại học công nghiệp thực phẩm,cơ khí chế tạo máy,co khi che tao may,38,dai hoc cong nghiep thuc pham,76,None,-1
hoc vien viet duc,Tụ Tập,tu tap,9,hoc vien viet duc,100,None,-1
dh van hoa tphcm,Chuyên ngành,chuyen nganh,26,dai hoc van hoa hcm,80,dai hoc van hoa   hcm,95
Danang college of economics and planning,Chuyên ngành,chuyen nganh,15,danang college of economics and planning,98,None,-1
"University of Economics, Ho Chi Minh City",Chuyên ngành,chuyen nganh,23,university of economics hcm city,74,None,-1
Trường trung học cơ sở Vĩnh Bình,Phổ thông,pho thong,24,trung hoc co so vinh binh,63,None,-1
Trường THPT nguyễn Dục,Chuyên ngành,chuyen nganh,37,thpt nguyen duc,43,None,-1
Đại học Công nghiệp thực phẩm TP HCM,công nghệ thực phẩm,cong nghe thuc pham,58,dai hoc cong nghiep thuc pham hcm,64,None,-1
Trung cấp nghề,cơ khí,co khi,30,trung cap nghe,79,None,-1
UWE Bristol,Chuyên ngành,chuyen nganh,17,uwe bristol,64,None,-1
Vietnam National University - Ho Chi Minh City (VNU-HCM),Chuyên ngành,chuyen nganh,21,vietnam national university hcm city,65,None,-1
American Polytechnic College,Business Administration (Marketing),business administration,25,american polytechnic college,89,None,-1
American Polytechnic College,Business Administration (Marketing),business administration,25,american polytechnic college,89,None,-1
NLU,Chuyên ngành,chuyen nganh,13,nlu,0,None,-1
Đại Học KHXH & NV,Du Lịch,du lich,18,dai hoc khoa hoc xa hoi nv,28,None,-1
Cao đẳng Công Thương,Tài Chính Ngân Hàng,tai chinh ngan hang,36,cao dang cong thuong,60,None,-1
Đại học Lương Thế vinh,Chuyên ngành,chuyen nganh,35,dai hoc luong the vinh,64,dai hoc luong the vinh,100
Tây đô,ngôn ngữ anh,ngon ngu anh,11,tay do,33,None,-1
Cao đẳng thống kê,kế toán,ke toan,33,cao dang thong ke,71,cao dang thong ke,100
Muốn làm giàu bằng đôi bàn tay trắng :X,Chuyên ngành,chuyen nganh,24,muon lam giau bang doi ban tay trang :x,74,None,-1
Đại học Kinh tế - Kỹ thuật Bình Dương,Dược sĩ,duoc si,10,dai hoc kinh te ky thuat binh duong,61,dai hoc kinh te   ky thuat binh duong,97
Đại học Ngoại ngữ - Tin học TP.HCM,Kinh doanh quốc tế ,kinh doanh quoc te,42,dai hoc ngoai ngu tin hoc hcm,57,None,-1
Học viện ngân hàng,Quản trị kinh doanh,quan tri kinh doanh,38,hoc vien ngan hang,72,hoc vien ngan hang,100
thpt trần hưng đạo,chưa ra trường,chua ra truong,44,thpt tran hung dao,78,None,-1
Học viện kỹ thuật quân sự,Công nghệ thông tin,cong nghe thong tin,32,hoc vien ky thuat quan su,72,hoc vien ky thuat quan su,100
Seoul National University,Chuyên ngành,chuyen nganh,22,seoul national university,88,None,-1
trường đại học công nghiệp ha nội,kiểm toán,kiem toan,23,dai hoc cong nghiep ha noi,68,dai hoc cong nghiep ha noi,100
cao đẳng sư phạm hà nội,sư phạm địa - giáo dục công dân,su pham dia giao duc cong dan,33,cao dang su pham ha noi,74,None,-1
Nguyen Tat Thanh,Chuyên ngành,chuyen nganh,43,nguyen tat thanh,81,None,-1
Trường CĐ Công Nghệ và Quản trị Sonadezi,Kế toán,ke toan,19,cao dang cong nghe quan tri sonadezi,58,cao dang cong nghe quan tri sonadezi,100
Harvard University,Chuyên ngành,chuyen nganh,20,harvard university,89,None,-1
Đại học sài gòn,sư phạm ngữ văn THCS,su pham ngu van thcs,29,dai hoc sai gon,67,dai hoc sai gon,100
dai hoc kinh te hue,Chuyên ngành,chuyen nganh,26,dai hoc kinh te hue,100,dai hoc kinh te hue,100
trường THPT Earok,học sinh cấp 3,hoc sinh cap 3,25,thpt earok,44,None,-1
đại học mở,quản trị kinh doanh chất lượng cao,quan tri kinh doanh chat luong cao,27,dai hoc mo,60,None,-1
Đại học Kinh tế và Quản trị kinh doanh,Luật kinh tế,luat kinh te,34,dai hoc kinh te quan tri kinh doanh,74,None,-1
Trường Tiểu học và THCS Quang Trung - Đống Đa - Hà Nội,Hành chính học,hanh chinh hoc,22,tieu hoc thcs quang trung dong da ha noi,51,None,-1
Trường Đại học Khoa học Xã hội và Nhân văn,Chuyên ngành,chuyen nganh,18,dai hoc khoa hoc xa hoi nhan van,57,None,-1
Khoa CNTY - ĐH Nông Lâm TP.HCM,Chuyên ngành,chuyen nganh,29,khoa cnty dai hoc nong lam hcm,40,None,-1
Đại Học Vinh,Cử Nhân Kế Toán,cu nhan ke toan,30,dai hoc vinh,58,dai hoc vinh,100
Đại học Bình Dương,Quản trị kinh doanh,quan tri kinh doanh,49,dai hoc binh duong,56,dai hoc binh duong,100
trường kỉ thuật nghiệp vụ an giang,tài xế,tai xe,18,ki thuat nghiep vu an giang,75,None,-1
Harvard University,Chuyên ngành,chuyen nganh,20,harvard university,89,None,-1
trung cap nghe binh duong,lai xe,lai xe,19,trung cap nghe binh duong,100,None,-1
Trung cấp nghề Hậu Giang,Chuyên ngành,chuyen nganh,33,trung cap nghe hau giang,75,None,-1
Đại Học Khoa Học và Công Nghệ Hà Nội - USTH,Chuyên ngành,chuyen nganh,28,dai hoc khoa hoc cong nghe ha noi usth,47,None,-1
truong trung hoc co so minh luong,Chuyên ngành,chuyen nganh,26,trung hoc co so minh luong,88,None,-1
Đại học Mỹ Thuật Công Nghiệp,Chuyên ngành,chuyen nganh,35,dai hoc my thuat cong nghiep,61,dai hoc my thuat cong nghiep,100
ĐH Tôn Đức Thắng,Bảo Hộ Lao Động,bao ho lao dong,33,dai hoc ton duc thang,43,dai hoc ton duc thang,100
Cao Đẳng kinh tế công nghiệp,Kế toán,ke toan,23,cao dang kinh te cong nghiep,79,None,-1
Open University - Postgraduate,Banking and Finance,banking and finance,30,open university postgraduate,86,None,-1
Dai hoc Nong Lam TPHCM,Chuyên ngành,chuyen nganh,31,dai hoc nong lam hcm,67,dai hoc nong lam   hcm,95
HUTECH - Trường Đại học Công nghệ TP.HCM,Chuyên ngành,chuyen nganh,34,hutech truong dai hoc cong nghe hcm,45,None,-1
Đại học Hàng không dân dụng viet nam,Chuyên ngành,chuyen nganh,25,dai hoc hang khong dan dung viet nam,78,None,-1
Cao Đẳng Viễn Đông,Quản trị kinh doanh,quan tri kinh doanh,43,cao dang vien dong,61,cao dang vien dong,100
Trường Đại học Sư phạm Hà Nội,Chuyên ngành,chuyen nganh,24,dai hoc su pham ha noi,47,dai hoc su pham ha noi,100
THCS Bạch Đằng,Chuyên ngành,chuyen nganh,31,thcs bach dang,43,None,-1
thcs đông hồ 1,mỹ phẩm,my pham,19,thcs dong ho 1,79,None,-1
không thể nói,không thể nói,khong the noi,77,khong the noi,77,None,-1
Duy Tan University,Chuyên ngành,chuyen nganh,33,duy tan university,83,None,-1
Trường THPT Lộc thái,Chuyên ngành,chuyen nganh,24,thpt loc thai,36,None,-1
"University of Engineering and Technology, VNU",Chăn nuôi trồng trọt,chan nuoi trong trot,28,university of engineering and technology vnu,85,None,-1
Vinh Long,Cơ khí ô tô,co khi o to,20,vinh long,78,None,-1
Trường Cao Đẳng Nghề Ladec Thủ Đức,Chuyên ngành,chuyen nganh,26,cao dang nghe ladec thu duc,56,None,-1
Học viện Công nghệ Bưu chính Viễn thông,Kế toán,ke toan,17,hoc vien cong nghe buu chinh vien thong,69,hoc vien cong nghe buu chinh vien thong,100
Trường Đại học Tôn Đức Thắng,Chuyên ngành,chuyen nganh,30,dai hoc ton duc thang,49,dai hoc ton duc thang,100
Trường Đại Học Công Nghiệp TP-HCM,Chuyên ngành,chuyen nganh,34,dai hoc cong nghiep hcm,43,dai hoc cong nghiep   hcm,96
Yersin University of Dalat,English,english,18,yersin university of dalat,88,None,-1
Trường Đại học Ngoại ngữ - Tin học TP. HCM - HUFLIT,Quản trị Du lịch& khách sạn,quan tri du lich khach san,29,dai hoc ngoai ngu tin hoc hcm huflit,44,None,-1
Cao Dang Nghe Tphcm,Chuyên ngành,chuyen nganh,34,cao dang nghe hcm,78,None,-1
Đại Học Rèn Luyện Kĩ Năng Chém Gió Quốc Tế Xuyên Lục Địa,Chuyên ngành,chuyen nganh,24,dai hoc ren luyen ki nang chem gio quoc te xuyen luc dia,54,None,-1
học viện ngân hàng,kế toán,ke toan,16,hoc vien ngan hang,78,hoc vien ngan hang,100
Học viện ngân hàng,tài chính - tín dụng,tai chinh tin dung,37,hoc vien ngan hang,72,hoc vien ngan hang,100
Đại học Tôn Đức Thắng,Song ngữ Trung -Anh,song ngu trung anh,35,dai hoc ton duc thang,57,dai hoc ton duc thang,100
An Giang University (AGU),Chuyên ngành,chuyen nganh,32,an giang university,73,None,-1
Ben Thanh,Pharmacist,pharmacist,21,ben thanh,78,None,-1
Đại học Quốc tế Hồng Bàng - HIU,Chuyên ngành,chuyen nganh,34,dai hoc quoc te hong bang hiu,53,None,-1
Trường Đại Học Văn Lang Tp Hcm,Kỹ Thuật công trình xây dựng,ky thuat cong trinh xay dung,33,dai hoc van lang hcm,53,None,-1
Trường Đại học Kinh tế- Kỹ thuật Bình Dương,Quản trị văn phòng,quan tri van phong,30,dai hoc kinh te ky thuat binh duong,56,dai hoc kinh te   ky thuat binh duong,97
